Crop,Year,Month,Price
Peas,2024,January,181.1
Potato,2024,January,169.1
Ragi,2024,January,279.0
Rajma,2024,January,233.5
Rapeseed & Mustard,2024,January,163.6
Rapeseed & Mustard (Meal/Cake),2024,January,228.3
Rapeseed & Mustard Oil,2024,January,153.7
Rice,2024,January,184.6
Safflower,2024,January,183.4
Sesamum,2024,January,239.2
Soya oil,2024,January,125.2
Soybean,2024,January,210.8
Sugarcane,2024,January,217.0
Sunflower,2024,January,132.9
Sunflower oil,2024,January,124.4
Tobacco,2024,January,113.6
Tomato,2024,January,254.8
Tur,2024,January,256.2
Urad,2024,January,211.6
Wheat,2024,January,197.5
Wheat Atta,2024,January,190.6
Bajra,2013,February,132.7
Barley,2013,February,120.2
Castorseed,2013,February,81.6
Cotton,2013,February,93.9
Cotton (Meal/Cake),2013,February,108.9
Cotton Oil,2013,February,99.7
Gram,2013,February,124.1
Groundnut,2013,February,125.3
Groundnut Oil,2013,February,127.6
Jowar,2013,February,97.9
Jute,2013,February,116.3
Lentil,2013,February,120.1
Linseed,2013,February,134.0
Maize,2013,February,122.9
Mesta,2013,February,111.5
Moong,2013,February,117.1
Nigerseed,2013,February,116.1
Onion,2013,February,216.2
Paddy,2013,February,117.9
Palm oil,2013,February,93.4
Peas,2013,February,113.0
Potato,2013,February,129.8
Ragi,2013,February,170.2
Rajma,2013,February,161.4
Rapeseed & Mustard,2013,February,132.6
Rapeseed & Mustard (Meal/Cake),2013,February,152.2
Rapeseed & Mustard Oil,2013,February,114.6
Rice,2013,February,118.7
Safflower,2013,February,115.7
Sesamum,2013,February,161.2
Soya oil,2013,February,112.1
Soybean,2013,February,137.7
Sugarcane,2013,February,104.9
Sunflower,2013,February,116.1
Sunflower oil,2013,February,109.3
Tobacco,2013,February,104.0
Tomato,2013,February,73.7
Tur,2013,February,110.6
Urad,2013,February,96.3
Wheat,2013,February,123.6
Wheat Atta,2013,February,122.1
Bajra,2014,February,131.5
Barley,2014,February,123.5
Castorseed,2014,February,90.9
Cotton,2014,February,111.8
Cotton (Meal/Cake),2014,February,122.8
Cotton Oil,2014,February,100.3
Gram,2014,February,101.7
Groundnut,2014,February,99.4
Groundnut Oil,2014,February,90.1
Jowar,2014,February,103.0
Jute,2014,February,126.2
Lentil,2014,February,136.6
Linseed,2014,February,126.4
Maize,2014,February,118.9
Mesta,2014,February,121.3
Moong,2014,February,129.3
Nigerseed,2014,February,112.6
Onion,2014,February,133.1
Paddy,2014,February,132.3
Palm oil,2014,February,108.2
Peas,2014,February,105.8
Potato,2014,February,144.3
Ragi,2014,February,158.1
Rajma,2014,February,183.8
Rapeseed & Mustard,2014,February,119.3
Rapeseed & Mustard (Meal/Cake),2014,February,148.1
Rapeseed & Mustard Oil,2014,February,105.8
Rice,2014,February,127.9
Safflower,2014,February,107.1
Sesamum,2014,February,142.5
Soya oil,2014,February,105.8
Soybean,2014,February,162.0
Sugarcane,2014,February,124.3
Sunflower,2014,February,112.2
Sunflower oil,2014,February,101.2
Tobacco,2014,February,109.4
Tomato,2014,February,79.6
Tur,2014,February,118.4
Urad,2014,February,108.5
Wheat,2014,February,128.8
Wheat Atta,2014,February,130.1
Bajra,2015,February,123.2
Barley,2015,February,134.7
Castorseed,2015,February,88.6
Cotton,2015,February,83.4
Cotton (Meal/Cake),2015,February,120.1
Cotton Oil,2015,February,93.3
Gram,2015,February,109.4
Groundnut,2015,February,111.1
Groundnut Oil,2015,February,98.6
Jowar,2015,February,119.6
Jute,2015,February,140.8
Lentil,2015,February,166.2
Linseed,2015,February,129.9
Maize,2015,February,119.3
Mesta,2015,February,130.0
Moong,2015,February,155.7
Nigerseed,2015,February,143.3
Onion,2015,February,198.0
Paddy,2015,February,134.1
Palm oil,2015,February,95.0
Peas,2015,February,106.5
Potato,2015,February,116.2
Ragi,2015,February,161.1
Rajma,2015,February,156.2
Rapeseed & Mustard,2015,February,128.0
Rapeseed & Mustard (Meal/Cake),2015,February,162.0
Rapeseed & Mustard Oil,2015,February,114.3
Rice,2015,February,129.4
Safflower,2015,February,94.8
Sesamum,2015,February,121.9
Soya oil,2015,February,102.1
Soybean,2015,February,142.2
Sugarcane,2015,February,124.3
Sunflower,2015,February,109.8
Sunflower oil,2015,February,95.8
Tobacco,2015,February,113.6
Tomato,2015,February,119.2
Tur,2015,February,139.1
Urad,2015,February,132.1
Wheat,2015,February,125.9
Wheat Atta,2015,February,130.8
Bajra,2016,February,144.2
Barley,2016,February,141.6
Castorseed,2016,February,78.2
Cotton,2016,February,87.7
Cotton (Meal/Cake),2016,February,157.2
Cotton Oil,2016,February,97.4
Gram,2016,February,145.8
Groundnut,2016,February,124.6
Groundnut Oil,2016,February,109.8
Jowar,2016,February,116.1
Jute,2016,February,221.7
Lentil,2016,February,184.0
Linseed,2016,February,133.8
Maize,2016,February,135.9
Mesta,2016,February,173.9
Moong,2016,February,161.0
Nigerseed,2016,February,243.5
Onion,2016,February,144.9
Paddy,2016,February,135.3
Palm oil,2016,February,91.8
Peas,2016,February,112.4
Potato,2016,February,127.6
Ragi,2016,February,166.9
Rajma,2016,February,155.0
Rapeseed & Mustard,2016,February,135.3
Rapeseed & Mustard (Meal/Cake),2016,February,237.2
Rapeseed & Mustard Oil,2016,February,119.7
Rice,2016,February,131.2
Safflower,2016,February,111.1
Sesamum,2016,February,105.7
Soya oil,2016,February,99.9
Soybean,2016,February,150.2
Sugarcane,2016,February,159.7
Sunflower,2016,February,118.1
Sunflower oil,2016,February,102.8
Tobacco,2016,February,113.6
Tomato,2016,February,103.6
Tur,2016,February,205.5
Urad,2016,February,199.3
Wheat,2016,February,134.1
Wheat Atta,2016,February,130.9
Bajra,2017,February,151.3
Barley,2017,February,161.9
Castorseed,2017,February,88.6
Cotton,2017,February,113.9
Cotton (Meal/Cake),2017,February,162.2
Cotton Oil,2017,February,104.1
Gram,2017,February,200.4
Groundnut,2017,February,132.4
Groundnut Oil,2017,February,114.5
Jowar,2017,February,136.0
Jute,2017,February,190.6
Lentil,2017,February,156.2
Linseed,2017,February,169.7
Maize,2017,February,135.6
Mesta,2017,February,126.0
Moong,2017,February,116.9
Nigerseed,2017,February,200.4
Onion,2017,February,114.5
Paddy,2017,February,146.4
Palm oil,2017,February,108.3
Peas,2017,February,119.7
Potato,2017,February,96.8
Ragi,2017,February,242.9
Rajma,2017,February,165.1
Rapeseed & Mustard,2017,February,143.4
Rapeseed & Mustard (Meal/Cake),2017,February,199.8
Rapeseed & Mustard Oil,2017,February,120.1
Rice,2017,February,147.9
Safflower,2017,February,117.0
Sesamum,2017,February,117.8
Soya oil,2017,February,106.2
Soybean,2017,February,126.0
Sugarcane,2017,February,167.6
Sunflower,2017,February,108.5
Sunflower oil,2017,February,105.6
Tobacco,2017,February,113.6
Tomato,2017,February,110.1
Tur,2017,February,133.1
Urad,2017,February,158.1
Wheat,2017,February,149.3
Wheat Atta,2017,February,148.4
Bajra,2018,February,127.9
Barley,2018,February,141.0
Castorseed,2018,February,99.2
Cotton,2018,February,106.9
Cotton (Meal/Cake),2018,February,140.2
Cotton Oil,2018,February,105.3
Gram,2018,February,134.7
Groundnut,2018,February,114.9
Groundnut Oil,2018,February,106.1
Jowar,2018,February,115.9
Jute,2018,February,166.8
Lentil,2018,February,122.1
Linseed,2018,February,148.6
Maize,2018,February,117.3
Mesta,2018,February,116.9
Moong,2018,February,113.0
Nigerseed,2018,February,190.2
Onion,2018,February,250.7
Paddy,2018,February,151.4
Palm oil,2018,February,113.5
Peas,2018,February,127.3
Potato,2018,February,108.1
Ragi,2018,February,214.9
Rajma,2018,February,137.0
Rapeseed & Mustard,2018,February,136.8
Rapeseed & Mustard (Meal/Cake),2018,February,187.9
Rapeseed & Mustard Oil,2018,February,120.6
Rice,2018,February,153.9
Safflower,2018,February,139.2
Sesamum,2018,February,133.4
Soya oil,2018,February,111.3
Soybean,2018,February,152.2
Sugarcane,2018,February,169.5
Sunflower,2018,February,100.6
Sunflower oil,2018,February,106.3
Tobacco,2018,February,113.6
Tomato,2018,February,95.5
Tur,2018,February,116.5
Urad,2018,February,112.6
Wheat,2018,February,140.0
Wheat Atta,2018,February,140.7
Bajra,2019,February,178.3
Barley,2019,February,163.4
Castorseed,2019,February,121.4
Cotton,2019,February,113.1
Cotton (Meal/Cake),2019,February,153.0
Cotton Oil,2019,February,109.7
Gram,2019,February,146.5
Groundnut,2019,February,125.2
Groundnut Oil,2019,February,113.5
Jowar,2019,February,146.6
Jute,2019,February,201.3
Lentil,2019,February,129.5
Linseed,2019,February,150.8
Maize,2019,February,158.9
Mesta,2019,February,132.8
Moong,2019,February,128.2
Nigerseed,2019,February,143.5
Onion,2019,February,105.3
Paddy,2019,February,156.5
Palm oil,2019,February,112.9
Peas,2019,February,155.7
Potato,2019,February,131.4
Ragi,2019,February,224.9
Rajma,2019,February,133.0
Rapeseed & Mustard,2019,February,143.3
Rapeseed & Mustard (Meal/Cake),2019,February,187.6
Rapeseed & Mustard Oil,2019,February,123.6
Rice,2019,February,150.6
Safflower,2019,February,157.5
Sesamum,2019,February,174.4
Soya oil,2019,February,113.5
Soybean,2019,February,159.8
Sugarcane,2019,February,169.5
Sunflower,2019,February,127.4
Sunflower oil,2019,February,110.5
Tobacco,2019,February,113.6
Tomato,2019,February,133.4
Tur,2019,February,133.6
Urad,2019,February,124.5
Wheat,2019,February,157.2
Wheat Atta,2019,February,155.4
Bajra,2020,February,193.7
Barley,2020,February,181.7
Castorseed,2020,February,98.7
Cotton,2020,February,107.5
Cotton (Meal/Cake),2020,February,151.2
Cotton Oil,2020,February,118.4
Gram,2020,February,142.0
Groundnut,2020,February,142.7
Groundnut Oil,2020,February,127.7
Jowar,2020,February,165.6
Jute,2020,February,212.4
Lentil,2020,February,147.1
Linseed,2020,February,167.7
Maize,2020,February,167.0
Mesta,2020,February,137.2
Moong,2020,February,156.6
Nigerseed,2020,February,166.9
Onion,2020,February,276.2
Paddy,2020,February,162.3
Palm oil,2020,February,135.7
Peas,2020,February,182.3
Potato,2020,February,211.2
Ragi,2020,February,211.9
Rajma,2020,February,142.7
Rapeseed & Mustard,2020,February,150.5
Rapeseed & Mustard (Meal/Cake),2020,February,197.7
Rapeseed & Mustard Oil,2020,February,131.3
Rice,2020,February,154.5
Safflower,2020,February,186.7
Sesamum,2020,February,188.7
Soya oil,2020,February,121.3
Soybean,2020,February,171.6
Sugarcane,2020,February,169.5
Sunflower,2020,February,123.6
Sunflower oil,2020,February,114.1
Tobacco,2020,February,113.6
Tomato,2020,February,158.4
Tur,2020,February,152.8
Urad,2020,February,179.6
Wheat,2020,February,167.3
Wheat Atta,2020,February,158.6
Bajra,2021,February,145.7
Barley,2021,February,149.1
Castorseed,2021,February,106.6
Cotton,2021,February,113.9
Cotton (Meal/Cake),2021,February,170.3
Cotton Oil,2021,February,150.4
Gram,2021,February,156.3
Groundnut,2021,February,162.1
Groundnut Oil,2021,February,159.0
Jowar,2021,February,148.7
Jute,2021,February,263.0
Lentil,2021,February,166.3
Linseed,2021,February,179.9
Maize,2021,February,135.4
Mesta,2021,February,181.5
Moong,2021,February,169.7
Nigerseed,2021,February,204.4
Onion,2021,February,362.6
Paddy,2021,February,161.7
Palm oil,2021,February,173.8
Peas,2021,February,178.6
Potato,2021,February,147.5
Ragi,2021,February,226.8
Rajma,2021,February,183.7
Rapeseed & Mustard,2021,February,178.9
Rapeseed & Mustard (Meal/Cake),2021,February,224.1
Rapeseed & Mustard Oil,2021,February,175.9
Rice,2021,February,151.6
Safflower,2021,February,169.4
Sesamum,2021,February,174.1
Soya oil,2021,February,153.5
Soybean,2021,February,194.4
Sugarcane,2021,February,196.3
Sunflower,2021,February,161.5
Sunflower oil,2021,February,157.6
Tobacco,2021,February,113.6
Tomato,2021,February,163.4
Tur,2021,February,173.2
Urad,2021,February,196.6
Wheat,2021,February,149.6
Wheat Atta,2021,February,143.8
Bajra,2022,February,187.7
Barley,2022,February,188.4
Castorseed,2022,February,133.8
Cotton,2022,February,173.3
Cotton (Meal/Cake),2022,February,207.6
Cotton Oil,2022,February,173.9
Gram,2022,February,163.4
Groundnut,2022,February,165.7
Groundnut Oil,2022,February,158.4
Jowar,2022,February,148.9
Jute,2022,February,291.2
Lentil,2022,February,204.9
Linseed,2022,February,248.0
Maize,2022,February,162.4
Mesta,2022,February,192.0
Moong,2022,February,166.1
Nigerseed,2022,February,256.9
Onion,2022,February,266.8
Paddy,2022,February,161.7
Palm oil,2022,February,201.8
Peas,2022,February,195.1
Potato,2022,February,170.6
Ragi,2022,February,235.4
Rajma,2022,February,244.9
